file_name,features
InfantVoiceClipSample (2).wav,"[[-487.73108   -487.73108   -487.73108   ... -213.58904   -197.43858
  -161.50061  ]
 [   0.           0.           0.        ...  143.42865    154.10114
   164.67007  ]
 [   0.           0.           0.        ...  -92.25447    -94.992226
   -83.70055  ]
 ...
 [   0.           0.           0.        ...   26.108269    29.603706
    26.429888 ]
 [   0.           0.           0.        ...   40.613647    36.315468
    23.953157 ]
 [   0.           0.           0.        ...   14.803432     6.365495
     4.7641573]]"
InfantVoiceClipSample (1).wav,"[[-490.24377  -490.24377  -490.24377  ... -331.75882  -328.07556
  -330.46725 ]
 [   0.          0.          0.       ...  116.73714   117.322754
   119.052055]
 [   0.          0.          0.       ...  -12.951763  -16.7254
   -10.78278 ]
 ...
 [   0.          0.          0.       ...   -7.755167  -13.950454
   -10.438183]
 [   0.          0.          0.       ...   -6.518046  -10.858082
    -9.319134]
 [   0.          0.          0.       ...  -10.790417  -12.048063
   -13.889997]]"
InfantVoiceClipSample (6).wav,"[[-5.26110413e+02 -5.26110413e+02 -5.26110413e+02 ... -2.85169159e+02
  -3.17160461e+02 -3.35888062e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.22141945e+02
   1.10351814e+02  1.03364693e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -8.17816620e+01
  -6.73451233e+01 -5.39017677e+01]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.07555380e+01
  -1.17125263e+01 -1.02674866e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  9.45146847e+00
   4.67841673e+00  4.77901411e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.33122978e+01
   6.14854527e+00 -1.70141965e-01]]"
InfantVoiceClipSample (5).wav,"[[-542.15497   -542.15497   -542.15497   ... -439.38254   -464.2523
  -478.69186  ]
 [   0.           0.           0.        ...   85.898575    70.21271
    60.72342  ]
 [   0.           0.           0.        ...   10.811805    15.91237
    20.746496 ]
 ...
 [   0.           0.           0.        ...   -5.2911363   -5.886129
    -7.1633873]
 [   0.           0.           0.        ...    7.875615     1.0972248
    -5.551057 ]
 [   0.           0.           0.        ...    1.1201347   -3.4149055
    -6.127258 ]]"
InfantVoiceClipSample (3).wav,"[[-595.82263   -595.82263   -595.82263   ... -264.07077   -263.2001
  -234.37544  ]
 [   0.           0.           0.        ...  230.00333    229.9769
   194.4371   ]
 [   0.           0.           0.        ...  -60.896606   -58.50254
   -56.468628 ]
 ...
 [   0.           0.           0.        ...  -24.634956   -16.612762
    -2.4554348]
 [   0.           0.           0.        ...  -12.71658     -4.3478217
    -8.946612 ]
 [   0.           0.           0.        ...    4.5466576   -5.9482317
   -14.735616 ]]"
InfantVoiceClipSample (4).wav,"[[-5.6737042e+02 -5.6421313e+02 -5.3633917e+02 ... -3.3470621e+02
  -3.2238977e+02 -2.7954999e+02]
 [ 0.0000000e+00  3.5795584e+00  2.9776428e+01 ...  1.2941159e+02
   1.3645215e+02  1.6250977e+02]
 [ 0.0000000e+00  1.4927163e+00  2.4986634e+00 ... -5.5742615e+01
  -5.9676476e+01 -7.4470665e+01]
 ...
 [ 0.0000000e+00 -1.7445193e-01  2.3472097e+00 ... -1.3504869e+01
  -1.3239721e+01 -1.2891792e+01]
 [ 0.0000000e+00 -7.6864016e-01 -1.3322374e+00 ... -4.0710087e+00
  -1.4074968e+00  5.5997348e-01]
 [ 0.0000000e+00 -1.0736026e+00 -3.1916785e+00 ... -5.8458529e+00
  -5.4125829e+00 -2.6538644e+00]]"
AdultVoiceClipSample (2).wav,"[[-270.80246   -188.07375   -154.18034   ... -163.9375    -188.60446
  -238.20871  ]
 [ 148.34038    155.57321    137.24393   ...  171.1368     163.9494
   157.7854   ]
 [  -4.4816837  -32.824005   -51.191456  ...    7.621053    11.74454
    21.338657 ]
 ...
 [  -6.0802965   -7.182619    -8.397395  ...    1.746677     3.5731359
     4.0625105]
 [   3.0059779   -2.632183    -5.4641113 ...    0.9820539   -1.9447142
    -1.7840849]
 [  -3.2980928    2.315327     2.9412477 ...  -14.03286     -9.836316
   -11.432017 ]]"
AdultVoiceClipSample (1).wav,"[[-236.25502    -186.45906    -171.76697    ... -194.34073
  -203.5638     -222.46436   ]
 [  98.54684     105.806244    103.53342    ...  123.303116
   115.20463     105.52185   ]
 [  -1.9597666    -1.2400987    -4.9775314  ...   31.059452
    26.314842     22.841562  ]
 ...
 [  -9.335823     -1.8701491     7.124449   ...   -8.761182
    -7.937329     -3.1933467 ]
 [  -4.1753387    -3.520741     -4.723236   ...    0.63626003
     1.5995545    -1.6951652 ]
 [   6.959083     10.428038      8.498875   ...   -2.2338295
     0.590436     -0.3309431 ]]"
AdultVoiceClipSample (4).wav,"[[-355.74686   -292.17953   -251.6269    ... -233.12746   -224.62004
  -207.54738  ]
 [  47.40349     83.59043    118.22107   ...   83.77418     93.99927
   129.52257  ]
 [   7.675126    27.984863    38.55361   ...  -13.340878    -9.242864
    11.528861 ]
 ...
 [  -4.951214     1.1504984    2.923274  ...  -14.277811   -11.512846
    -5.937655 ]
 [  -5.330931    -4.797776    -7.6533413 ...  -20.013313   -20.907185
   -13.607081 ]
 [   3.046682    -5.313778    -9.946634  ...    5.048591    -5.862495
    -6.2174377]]"
AdultVoiceClipSample (3).wav,"[[-3.1122858e+02 -2.0585735e+02 -1.3275560e+02 ... -2.5936252e+02
  -2.8096725e+02 -3.0840799e+02]
 [ 7.1904709e+01  1.3391418e+02  1.3986020e+02 ...  7.8371048e+01
   7.6158524e+01  7.6101135e+01]
 [ 8.8628368e+00  7.2843895e+00 -2.4339628e+01 ...  3.5585675e+00
  -3.0847545e+00 -2.8229971e+00]
 ...
 [-5.2837200e+00  1.9202864e+00  3.6555500e+00 ...  9.0177402e+00
   5.6351342e+00  4.0660558e+00]
 [-9.5412512e+00 -1.1416872e+01 -1.2828807e+01 ...  9.1757832e+00
   5.6544695e+00  1.9147904e+00]
 [-1.7992854e+00 -9.7768364e+00 -1.3533085e+01 ...  5.6796103e+00
   3.1359520e+00  3.1299889e-03]]"
AdultVoiceClipSample (6).wav,"[[-2.68096802e+02 -2.28900375e+02 -2.30702652e+02 ... -2.44981018e+02
  -2.47963364e+02 -2.49786118e+02]
 [ 1.03501602e+02  1.07336365e+02  1.07591187e+02 ...  1.26707733e+02
   1.38022919e+02  1.28742233e+02]
 [ 1.44380302e+01  2.53902698e+00 -8.45095634e+00 ... -3.42837982e+01
  -1.86764450e+01 -5.33605909e+00]
 ...
 [-8.13637638e+00 -1.17538471e+01 -1.24059868e+01 ... -2.03192353e+00
   1.00040209e+00 -1.95873034e+00]
 [ 2.38029838e+00  5.52001143e+00  1.12883625e+01 ... -8.91922951e-01
   3.91943789e+00  1.03443108e+01]
 [ 4.43570471e+00  7.96874905e+00  8.92799854e+00 ...  1.14116740e+00
   3.17854786e+00  1.11139536e-01]]"
AdultVoiceClipSample (5).wav,"[[-3.0382404e+02 -2.4714915e+02 -2.0904208e+02 ... -2.4917580e+02
  -2.5150060e+02 -2.6047470e+02]
 [ 7.2545151e+01  9.4372215e+01  1.1714302e+02 ...  7.0790619e+01
   7.2313019e+01  8.6660599e+01]
 [ 2.3238567e+01  2.3070084e+01  1.9809513e+01 ...  3.2122886e+00
   3.9810038e+00  1.2859882e+01]
 ...
 [ 1.4672906e+00 -1.0212088e+00 -2.8959092e-01 ... -4.3259907e+00
   4.4452250e-01  4.0451074e+00]
 [ 2.3528855e+00  1.5424803e+00  3.0209022e+00 ... -1.0976982e+01
  -6.0840282e+00 -3.0543687e+00]
 [ 8.4658546e+00  5.7217669e+00  5.9901708e-01 ... -4.6165900e+00
  -4.6479979e+00 -9.6001244e+00]]"
